"PrimaryKey","siteid","ProportionCriteriaMet"
"17060109055824032017-09-01","R012XY004ID",1
"17060109063649412017-09-01","R012XY004ID",1
"17060109074833472017-09-01","R012XY004ID",1
"17060110124358262017-09-01","R012XY046ID",1
"17060112561653382017-09-01","R012XY004ID",1
"17060113184759492017-09-01","R012XY046ID",1
"17060114220529472017-09-01","R012XY004ID",1
"17060211203413032017-09-01","R012XY004ID",1
"17060214271487462017-09-01","R012XY004ID",1
"17060216215431532017-09-01","R012XY004ID",1
"17060309185086122017-09-01","R012XY004ID",1
"17060310150878492017-09-01","R012XY004ID",1
"17060315395024812017-09-01","R012XY004ID",1
"17060318095185032017-09-01","R012XY004ID",1
"17060409534559382017-09-01","R012XY004ID",1
"17060414553340732017-09-01","R012XY004ID",1
"17060415391499322017-09-01","R012XY004ID",1
"17060510583568372017-09-01","R012XY004ID",1
"17060511165237712017-09-01","R012XY004ID",1
"17060512553217222017-09-01","R012XY004ID",1
"17060607494622502017-09-01","R012XY004ID",1
"17060608272741622017-09-01","R012XY004ID",1
"17060608565063022017-09-01","R012XY046ID",1
"17060610023361252017-09-01","R012XY004ID",1
"17060612252214242017-09-01","R012XY004ID",1
"17060614550227792017-09-01","R012XY004ID",1
"17060615554312282017-09-01","R012XY004ID",1
"17060709101466642017-09-01","R012XY004ID",1
"17060711271197682017-09-01","R012XY004ID",1
"17060711271559342017-09-01","R012XY004ID",1
"17060713085743032017-09-01","R012XY004ID",1
"17060714161866862017-09-01","R012XY046ID",1
"17060716084786882017-09-01","R012XY046ID",1
"17060810533134882017-09-01","R012XY004ID",1
"17060811372963312017-09-01","R012XY004ID",1
"17061209022889292017-09-01","R012XY004ID",1
"17061307572048172017-09-01","R012XY004ID",1
"17061411094967642017-09-01","R012XY004ID",1
"17061415223654982017-09-01","R012XY004ID",1
"17061415561442142017-09-01","R012XY004ID",1
"17061417505496712017-09-01","R012XY004ID",1
"17061508350519962017-09-01","R012XY004ID",1
"17061508495314952017-09-01","R012XY004ID",1
"17061509220431412017-09-01","R012XY046ID",1
"17061509360086682017-09-01","R012XY004ID",1
"17061510535476492017-09-01","R012XY004ID",1
"17061511263784482017-09-01","R012XY046ID",1
"17061511425075952017-09-01","R012XY004ID",1
"17061513360116732017-09-01","R012XY004ID",1
"17061514163093402017-09-01","R012XY004ID",1
"17061515290349442017-09-01","R012XY004ID",1
"17061608403735162017-09-01","R012XY004ID",1
"17061609045386592017-09-01","R012XY004ID",1
"17061609512686812017-09-01","R012XY004ID",1
"17061610120565752017-09-01","R012XY004ID",1
"17061610423459132017-09-01","R012XY004ID",1
"17061614204719042017-09-01","R012XY004ID",1
"17061614441310212017-09-01","R012XY004ID",1
"17061615324996312017-09-01","R012XY004ID",1
"17061708305368932017-09-01","R012XY004ID",1
"17061709113432542017-09-01","R012XY004ID",1
"17061710033527152017-09-01","R012XY004ID",1
"17061710093680712017-09-01","R012XY046ID",1
"17061710592736852017-09-01","R012XY004ID",1
"17061715525458622017-09-01","R012XY004ID",1
"1706171610573682017-09-01","R012XY004ID",1
"17061716252940712017-09-01","R012XY007ID",0.571428571428571
"17061717275731362017-09-01","R012XY004ID",1
"17061808092321272017-09-01","R012XY004ID",1
"17061809251374262017-09-01","R012XY004ID",1
"17061811433669552017-09-01","R012XY004ID",1
"17061811461055512017-09-01","R012XY004ID",1
"17061812305863612017-09-01","R012XY004ID",1
"17061815433465762017-09-01","R012XY004ID",1
"17061816194442222017-09-01","R012XY004ID",1
"17061817280537412017-09-01","R012XY004ID",1
"1706190903161822017-09-01","R012XY004ID",1
"17061909215325532017-09-01","R012XY012ID",1
"17061909533195612017-09-01","R012XY007ID",0.571428571428571
"1706191415365652017-09-01","R012XY004ID",1
"17061914354536302017-09-01","R012XY004ID",1
"17061914405759132017-09-01","R012XY004ID",1
"17061914531314122017-09-01","R012XY007ID",0.571428571428571
"17062010574959182017-09-01","R012XY004ID",1
"17062011211919852017-09-01","R012XY004ID",1
"17062014450418102017-09-01","R012XY004ID",1
"17062017221493332017-09-01","R012XY007ID",0.714285714285714
"17062112272724722017-09-01","R012XY007ID",0.428571428571429
"1706211348115412017-09-01","R012XY004ID",1
"17062113493169602017-09-01","R012XY007ID",0.857142857142857
"17062115162359562017-09-01","R012XY007ID",0.714285714285714
"17062116324693432017-09-01","R012XY046ID",1
"17062208331978672017-09-01","R012XY046ID",1
"17062211341246642017-09-01","R012XY004ID",1
"17062617214918532017-09-01","R012XY004ID",1
"17062713165669102017-09-01","R012XY004ID",1
"17062714013458962017-09-01","R012XY004ID",1
"17062809134352272017-09-01","R012XY004ID",1
"17062810404713012017-09-01","R012XY004ID",1
"17062814215093742017-09-01","R012XY004ID",1
"17062909470997062017-09-01","R012XY004ID",1
"17062910532291592017-09-01","R012XY004ID",1
"17062911282881572017-09-01","R012XY004ID",1
"17062916252163592017-09-01","R012XY004ID",1
"17062917480372712017-09-01","R012XY004ID",1
"17063008134453372017-09-01","R012XY004ID",1
"17063009475645012017-09-01","R012XY004ID",1
"17063009543573882017-09-01","R012XY004ID",1
"17063011363566252017-09-01","R012XY004ID",1
"1706301152401822017-09-01","R012XY004ID",1
"17063014483657922017-09-01","R012XY004ID",1
"17063016432854152017-09-01","R012XY004ID",1
"17063017013478772017-09-01","R012XY004ID",1
"1707011017045132017-09-01","R012XY004ID",1
"17070110325362892017-09-01","R012XY004ID",1
"17070111455616072017-09-01","R012XY004ID",1
"17070112445583132017-09-01","R012XY004ID",1
"17070113022776972017-09-01","R012XY004ID",1
"17070115271667362017-09-01","R012XY004ID",1
"17070116083656952017-09-01","R012XY004ID",1
"17070207545459002017-09-01","R012XY004ID",1
"17070209315059592017-09-01","R012XY004ID",1
"17070209395365692017-09-01","R012XY004ID",1
"17070209513252102017-09-01","R012XY004ID",1
"17070211045499252017-09-01","R012XY004ID",1
"17070213153237442017-09-01","R012XY004ID",1
"17070215021732412017-09-01","R012XY004ID",1
"17070215250897032017-09-01","R012XY004ID",1
"1707030751289692017-09-01","R012XY004ID",1
"17070309511157472017-09-01","R012XY004ID",1
"1707031022482442017-09-01","R012XY021ID",1
"1707031302525782017-09-01","R012XY004ID",1
"17070313450236322017-09-01","R012XY004ID",1
"17070315485871352017-09-01","R012XY004ID",1
"17070515462993602017-09-01","R012XY004ID",1
"17070611465085042017-09-01","R012XY004ID",1
"17070710205415822017-09-01","R012XY004ID",1
"17071016434791462017-09-01","R012XY004ID",1
"17071113011927952017-09-01","R012XY004ID",1
"17071209103296752017-09-01","R012XY004ID",1
"1707121121124962017-09-01","R012XY004ID",1
"17071214042671172017-09-01","R012XY004ID",1
"17071216334821742017-09-01","R012XY004ID",1
"17071219004935182017-09-01","R012XY004ID",1
"17071309463229902017-09-01","R012XY004ID",1
"17071310110981662017-09-01","R012XY004ID",1
"17071310394511362017-09-01","R012XY004ID",1
"17071315444869222017-09-01","R012XY004ID",1
"17071409283656882017-09-01","R012XY004ID",1
"17071410040188992017-09-01","R012XY004ID",1
"17071413463524042017-09-01","R012XY004ID",1
"17071415313992572017-09-01","R012XY004ID",1
"17071416435352902017-09-01","R012XY007ID",0.714285714285714
"17071417181529182017-09-01","R012XY004ID",1
"17071508310331702017-09-01","R012XY004ID",1
"17071510010733202017-09-01","R012XY046ID",1
"17071510081918192017-09-01","R012XY004ID",1
"17071510365631692017-09-01","R012XY004ID",1
"17071510561582032017-09-01","R012XY004ID",1
"17071516514475452017-09-01","R012XY004ID",1
"17071517184084812017-09-01","R012XY002ID",1
"1707151739019452017-09-01","R012XY004ID",1
"17071609374639032017-09-01","R012XY004ID",1
"17071610161116572017-09-01","R012XY012ID",1
"17071611211560452017-09-01","R012XY046ID",1
"17071611351952512017-09-01","R012XY004ID",1
"17071612242231452017-09-01","R012XY004ID",1
"17071612345288982017-09-01","R012XY004ID",1
"17071613551174142017-09-01","R012XY004ID",1
"17071615550770762017-09-01","R012XY004ID",1
"17071616164661062017-09-01","R012XY046ID",1
"17071707093259072017-09-01","R012XY004ID",1
"17071708043566592017-09-01","R012XY004ID",1
"17071708310160092017-09-01","R012XY004ID",1
"1707170927078142017-09-01","R012XY004ID",1
"17071709480671482017-09-01","R012XY004ID",1
"17071709571882912017-09-01","R012XY012ID",1
"17071710120546512017-09-01","R012XY004ID",1
"17071711584652222017-09-01","R012XY046ID",1
"1707171324246702017-09-01","R012XY004ID",1
"1707171328459882017-09-01","R012XY004ID",1
"17071716150121932017-09-01","R012XY004ID",1
"17071717081881462017-09-01","R012XY004ID",1
"17071717452827162017-09-01","R012XY004ID",1
"17071810014691382017-09-01","R012XY004ID",1
"17071813080225412017-09-01","R012XY004ID",1
"17071813403575682017-09-01","R012XY004ID",1
